Titulo;Link;Precio Normal;Precio Online;Modelo;Marca;Tarjeta de Video;Procesador;Memoria Ram;Pulgadas Pantalla;Tipo de Almacenamiento;Almacenamiento;Tipo de Pantalla;Tipo de Memoria Ram;Tienda;Precio Normal_categ;Precio Online_categ;cluster_predicted
"Notebook HUAWEI Matebook X Pro 13.9"" Intel Core i7 16GB 1TB";https://www.plazavea.com.pe/notebook-huawei-matebook-x-pro-13-9--intelcore-i7-16gb-1tb/p;6999;6999;Matebook X Pro;HUAWEI;NVIDIA;Intel Core i7;16GB;13.9'';SSD;1TB;LTPS;DDR4;Plazavea;6200-7200;6200-7200;0
"Laptop Gaming Asus ROG Strix G15 G513RC-HN097W 15.6"" AMD Ryzen 7 6800H 512GB SSD 16GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gaming-asus-rog-strix-g15-g513rc-hn097w-15-6-amd-ryzen-7-6800h-512gb-ssd-16gb-ram;6999;6699;G513RC-HN097W;ASUS;NVIDIA GeForce RTX 3050;AMD Ryzen 7;16GB;15.6'';SSD;512GB;FHD;DDR4;Hiraoka;6200-7200;6200-7200;0
"Laptop Dell G15 5515 J5TDJ 15.6"" AMD Ryzen 7 5800H 512GB SSD 16GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-dell-g15-5515-j5tdj-15-6-amd-ryzen-7-5800h-512gb-ssd-16gb-ram;6999;6699;G15 5515 J5TDJ;DELL;NVIDIA GeForce RTX 3060;AMD Ryzen 7;16GB;15.6'';SSD;512GB;FHD;DDR4;Hiraoka;6200-7200;6200-7200;0
"Laptop Huawei MateBook 13s 13.4"" 2.5K LTPS Tactil i7-11370H 512GB SSD 16GB RAM Windows Hom";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-huawei-matebook-13s-emmyd-w7651t-13-4-intel-core-i7-11370h-512gb-ssd-16gb-ram-silver;6499;6499;MateBook 13s ;HUAWEI;Intel Iris Xe Graphics;Intel Core i7;16GB;13.4'';SSD;512GB;FHD;DDR4;Hiraoka;6200-7200;6200-7200;0
"Laptop Gamer Asus ROG Flow X13 13"" GV301QH Ryzen 9 5900HS 16GB RAM 512GB SSD 4GB Video Gris";https://www.oechsle.pe/laptop-gamer-asus-13-gv301qh-k6300t-ryzen-9-5900hs-16gb-ram-512gb-ssd-4gb-video-gris-1832028/p;7099;6499;GV301QH-K6300T;ASUS;AMD;AMD Ryzen 9;16GB;13.4'';SSD;512GB;WUXGA;;Oechsle;6200-7200;6200-7200;0
"Laptop Yoga 9i  14"" FHD Intel Core i7 16GB RAM 512GB SSD";https://www.oechsle.pe/laptop-yoga-9i-14-fhd-intel-core-i7-16gb-ram-512gb-ssd-1877167/p;6798;6199;Yoga 9i;LENOVO;Intel;Intel Core i7;16GB;14'';SSD;512GB;FHD;;Oechsle;6200-7200;5200-6200;0
"Laptop OMEN  FHD 16"" 16-c0503la AMD Ryzen R7-5800H 16GB RAM AMD 8GB R21M-E65-70 512GB SSD";https://www.oechsle.pe/laptop-omen--fhd-16-16-c0503la-amd-ryzen-r7-5800h-16gb-ram-amd-8gb-r21m-e65-70-512gb-ssd-1871921/p;7199;6199;R21M-E65-70;HP;AMD;AMD Ryzen 7;16GB;16'';SSD;512GB;FHD;;Oechsle;6200-7200;5200-6200;0
Laptop Gamer ROG Strix G15 G513RC 15.6'' R7-6800H 16GB RAM 512GB SSD 4GB Video RTX3050;https://www.oechsle.pe/laptop-gamer-rog-strix-15-g513rc-r7-6800h-16gb-ram-512gb-ssd-4gb-video-rtx3050--2070372/p;7699;6199;G513RC-HN097W;ASUS;AMD;AMD Ryzen 7;16GB;15.6'';SSD;512GB;FHD;;Oechsle;7200-8200;5200-6200;0
"Laptop ASUS 15.6"" FA506QM-HN008W Ryzen 7 8GB DDR4 RAM 512GB SSD Black";https://www.oechsle.pe/laptop-asus-15-6-fa506qm-hn008w-ryzen-7-8gb-ddr4-ram-512gb-ssd-black-2091546/p;7599;6099;FA506QM-HN008W;ASUS;AMD;AMD Ryzen 7;8GB;15.6'';SSD;512GB;FHD;;Oechsle;7200-8200;5200-6200;0
"Laptop Gamer MSI Katana GF66 11UC 15.6"" Intel Core i7-11800H 512GB SSD 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gamer-msi-katana-gf66-11uc-15-6-intel-core-i7-11800h-512gb-ssd-8gb-ram;6199;5999;Katana GF66 11UC;MSI;NVIDIA GeForce RTX 3050;Intel Core i7;8GB;15.6'';SSD;512GB;FHD;DDR4;Hiraoka;5200-6200;5200-6200;0
"Laptop Gaming Asus ROG Strix G15 G513IC-HN046W 15.6"" AMD Ryzen 7 4800H 512GB 16GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gaming-asus-rog-strix-g15-g513ic-hn046w-15-6-amd-ryzen-7-4800h-512gb-16gb-ram;6299;5999;G513IC-HN046W;ASUS;NVIDIA GeForce RTX 3050;AMD Ryzen 7;16GB;15.6'';SSD;512GB;FHD;DDR4;Hiraoka;6200-7200;5200-6200;0
"Laptop Gamer Dell G15 5511 JPMK1 15.6"" Intel Core i7-11800H 512GB SSD 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gamer-dell-g15-5511-jpmk1-15-6-intel-core-i7-11800h-512gb-ssd-8gb-ram;6099;5899;KATANA GF66 11UE;DELL;NVIDIA GeForce RTX 3050;Intel Core i7;16GB;15.6'';SSD;512GB;FHD;DDR4;Hiraoka;5200-6200;5200-6200;0
"Laptop Gamer 15.6"" Nitro Intel Core i5-10300H 16GB RAM 1TB+256SSD RTX3060 6GB Video Negro";https://www.oechsle.pe/laptop-gamer-15-6-nitro-intel-core-i5-10300h-16gb-ram-1tb-256ssd-rtx3060-6gb-video-negro-1788665/p;6099;5699;AN515-55-58JL;ACER;Intel;Intel Core i5;16GB;15.6'';SSD/HDD;1TB + 256GB;LED IPS;DDR4;Oechsle;5200-6200;5200-6200;0
"Laptop LG Gram 17Z90P-G.AH86B4 17"" Intel i7 Evo 11a Generacion 512GB SSD 16GB RA";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-lg-gram-17z90p-g-ah86b4-17-intel-i7-evo-11a-generacion-512gb-ssd-16gb-ram;6299;5699;AN515-55-78GV;LG;Intel Iris Xe Graphics;Intel Core i7;8GB;15.6'';SSD;512GB;LED IPS;LPDDR4;Hiraoka;6200-7200;5200-6200;0
Macbook Air Apple M1 Chip 8gb Ram 256gb Ssd Gold + Twelve South SuitCase;https://www.plazavea.com.pe/macbook-air-apple-m1-chip-8gb-ram-256gb-ssd-gold-twelve-south-suitcase-100180246/p;5589;5589;Air M1 Chip;APPLE;;M1;8GB;13'';SSD;256GB ;IPS;;Plazavea;5200-6200;5200-6200;0
Macbook Air Apple M1 Chip 8gb Ram 256gb Ssd Space Gray + Twelve South SuitCase;https://www.plazavea.com.pe/macbook-air-apple-m1-chip-8gb-ram-256gb-ssd-space-gray-twelve-south-suitcase-100180247/p;5589;5589;Air M1 Chip;APPLE;;M1;8GB;13'';SSD;256GB ;IPS;;Plazavea;5200-6200;5200-6200;0
"Laptop Gaming Dell G5 5515 15.6"" AMD Ryzen 5 5600H 512GB SSD 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gaming-dell-g5-5515-15-6-amd-ryzen-5-5600h-512gb-ssd-8gb-ram;5799;5499;A315-57G-57MY;DELL;NVIDIA GeForce RTX 3050;Intel Core i5;8GB;15.6'';SSD;512GB;FHD;DDR4;Hiraoka;5200-6200;5200-6200;0
"Laptop LG Gram 16Z90P-G.AH85B4 16"" Intel i7 11a Generacion Evo 512GB SSD 16GB RA";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-lg-gram-16z90p-g-ah85b4-16-intel-i7-11a-generacion-evo-512gb-ssd-16gb-ram;5999;5499;FX516PC-HN004T;LG;Intel Iris Xe Graphics;Intel Core i7;16GB;15.6'';SSD ;512GB;WQXGA;LPDDR4;Hiraoka;5200-6200;5200-6200;0
"Laptop Gamer Acer AN515-55-58JL 15.6"" 10th Gen Intel Core i5-10300H 1TB HDD + 256GB SSD 16GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gamer-acer-an515-55-58jl-15-6-10th-gen-intel-core-i5-10300h-1tb-hdd-256gb-ssd-16gb-ram;6099;5499;Acer AN515-55-58JL;ACER;NVIDIA GeForce RTX 3060;Intel Core i5;16GB;15.6'';SSD/HDD;1TB;FHD IPS;DDR4;Hiraoka;5200-6200;5200-6200;0
"Laptop HP Omen 15-en0001la 15.6"" AMD Ryzen 7 4800H 512GB SSD 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-hp-omen-15en0001la;5699;5399;Omen 15-en0001la;HP;NVIDIA GeForce GTX 1650;AMD Ryzen 7;8GB;15.6'';SSD;512GB;FHD;DDR4;Hiraoka;5200-6200;5200-6200;0
"Laptop Victus by HP 16-d0523la 16.1"" Intel Core i7-11600H 512GB SSD 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-victus-by-hp-16-d0523la-16-1-intel-core-i7-11600h-512gb-ssd-8gb-ram;5299;5299;"	16-d0523la";HP;NVIDIA GeForce RTX 3050;Intel Core i7;8GB;16.1'';SSD;512GB;FHD;DDR4;Hiraoka;5200-6200;5200-6200;0
"Laptop Gamer Acer AN515-55-78GV 15.6"" Intel Core i7-10750H 512GB SSD 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gamer-acer-an515-55-78gv-15-6-intel-core-i7-10750h-512gb-ssd-8gb-ram;5899;5299;Modern 15 A11ML;ACER;NVIDIA GeForce GTX 3060;Intel Core i7;8GB;15.6'';SSD;512GB;FHD IPS;DDR4;Hiraoka;5200-6200;5200-6200;0
"Laptop MSI Modern 14 B11SBL 14"" Intel Core i7-1165G7 512GB SSD 16GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-msi-modern-14-b11sbl-14-intel-core-i7-1165g7-512gb-ssd-16gb-ram;6299;5299;Modern 14 B11SBL 14;MSI;NVIDIA GeForce MX450;Intel Core i7;16GB;14'';SSD;512GB;FHD;DDR4;Hiraoka;6200-7200;5200-6200;0
"Laptop ASUS Vivobook 15 OLED K513EA 15.6"" Ci7-1165G7 16GB RAM 512GB SSD";https://www.oechsle.pe/laptop-asus-vivobook15-oled-15-6-k513ea-ci7-1165g7-16gb-ram-512gb-ssd-1978767/p;5299;5299;K513EA-L11073T;ASUS;Intel;Intel Core i7;16GB;15.6'';SSD;512GB;OLED;;Oechsle;5200-6200;5200-6200;0
"Laptop Asus TUF Gaming F15 FX506LH-HN100T 15.6"" Intel Core i7-10870H 512GB SSD 16GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-asus-tuf-gaming-f15-fx506lh-hn100t-15-6-intel-core-i7-10870h-512gb-ssd-16gb-ram;5599;4999;FX506LH-HN100T;ASUS;NVIDIA GeForce GTX 1650;Intel Core i7;16GB;15.6'';SSD;512GB;IPS;DDR4;Hiraoka;5200-6200;4200-5200;0
"Laptop Gamer Acer AN515-55-789Q 15.6"" Intel Core i7-10750H 512GB SSD 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gamer-acer-an515-55-789q-15-6-intel-core-i7-10750h-512gb-ssd-8gb-ram;5599;4999;AN515-55-789Q;ACER;NVIDIA GeForce GTX 3050;Intel Core i7;8GB;15.6'';SSD;512GB;FHD;DDR4;Hiraoka;5200-6200;4200-5200;0
Laptop ASUS FX516PC-HN005T 15.6'' Intel Core i7 11va generacion 16GB 512GB SS;https://www.oechsle.pe/laptop-asus-fx516pc-hn005t-15-6---intel-core-i7-11va-generacion-16gb-512gb-ssd-1000218762/p;6299;4899;FX516PC-HN005T;ASUS;Intel;Intel Core i7;16GB;15.6'';SSD;512GB;IPS;;Oechsle;6200-7200;4200-5200;0
Laptop ASUS G513IC-HN046W 15.6'' AMD Ryzen 7 (4000 series) 16GB 512GB SSD;https://www.oechsle.pe/laptop-asus-g513ic-hn046w-15-6---amd-ryzen-7--4000-series--16gb-512gb-ssd-1000194818/p;6299;4799;G513IC-HN046W;ASUS;AMD;AMD Ryzen 7;16GB;15.6'';SSD;512GB;IPS;;Oechsle;6200-7200;4200-5200;0
"Laptop MSI Modern 15 A11ML 15.6"" Intel Core i7-1165G7 512GB SSD 16GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-msi-modern-15-a11ml-15-6-intel-core-i7-1165g7-512gb-ssd-16gb-ram;5699;4699;Inspiron 3515 D6DM6;MSI;Intel Iris Xe Graphics;AMD Ryzen 5;16GB;15.6'';SSD;512GB;FHD;DDR4;Hiraoka;5200-6200;4200-5200;0
"Notebook ACER AN515-55-73XJ 15.6"" Intel Core i7 16GB 256GB SSD";https://www.plazavea.com.pe/notebook-acer-an5155573xj-15-6--intel-core-i7-16gb-256gb-ssd/p;4699;4699;AN515-55-73XJ;ACER;NVIDIA;Intel Core i7;16GB;15.6'';HDD;256GB;LED IPS;;Plazavea;4200-5200;4200-5200;0
"Laptop Gamer Acer AN515-55-74NH 15.6"" 10th Gen Intel Ci710750H 512GB SSD 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gamer-acer-an515-55-74nh-15-6-10th-gen-intel-ci710750h-512gb-ssd-8gb-ram;5099;4689;17Z90P-G.AH86B4;ACER;NVIDIA GeForce GTX 1650;Intel Core i7;16GB;17'';SSD;512GB;FHD;DDR4;Hiraoka;4200-5200;4200-5200;0
Laptop ASUS K513EA-BN1211T 15.6'' Intel Core i7 11va generacion 12GB 512GB SS;https://www.oechsle.pe/laptop-asus-k513ea-bn1211t-15-6---intel-core-i7-11va-generacion-12gb-512gb-ssd-1000156104/p;6199;4399;K513EA-BN1211T;ASUS;Intel;Intel Core i7;12GB;15.6'';SSD;512GB;IPS;;Oechsle;5200-6200;4200-5200;0
Laptop ASUS K513EA-BN2263T 15.6'' Intel Core i7 11va generacion 12GB 512GB SS;https://www.oechsle.pe/laptop-asus-k513ea-bn2263t-15-6---intel-core-i7-11va-generacion-12gb-512gb-ssd-1000156126/p;6199;4329;K513EA-BN2263T;ASUS;Intel;Intel Core i7;12GB;15.6'';SSD;512GB;IPS;;Oechsle;5200-6200;4200-5200;0
Notebook HP 16-d0505la 16.1'' Intel Core i5 11va generacion 16GB 512GB SSD;https://www.plazavea.com.pe/notebook-hp-16d0505la-16-1-intel-core-i5-11va-generacion-16gb-512gb-ssd/p;4199;4099;16-d0505la;HP;NVIDIA;Intel Core i5;16GB;16.1'';SSD;512GB;;DDR4;Plazavea;3800-4200;3800-4200;0
Laptop ASUS UX325EA-KG595W 13'' Intel Core i7 11va generacion 16GB 512GB SS;https://www.oechsle.pe/laptop-asus-ux325ea-kg595w-13---intel-core-i7-11va-generacion-16gb-512gb-ssd-1000208210/p;7599;4099;UX325EA-KG595W;ASUS;Intel;Intel Core i7;16GB;13'';SSD;512GB;OLED;;Oechsle;7200-8200;3800-4200;0
Laptop ASUS Zenbook 13 OLED UX325EA 13.3'' Ci7-1165G7 16GB RAM 512SSD;https://www.oechsle.pe/laptop-asus-zenbook-13-oled-ux325ea-13-3-ci7-1165g7-16gb-ram-512ssd-2061390/p;6299;3999;UX325EA-KG674W;ASUS;Intel;Intel Core i7;16GB;13.3'';SSD;512GB;OLED;;Oechsle;6200-7200;3800-4200;0
Laptop Lenovo 15IIL Intel I7 8GBRAM 256GB SSD X360 Touch Win10 ;https://www.plazavea.com.pe/laptop-lenovo-15iil-intel-i7-8gbram-256gb-ssd-x360-touch-win10-100167636/p;3959;3959;15IIL05;LENOVO;Intel;Intel Core i7;8GB;15.6'';SSD;256GB ;FHD;;Plazavea;3800-4200;3800-4200;0
"Laptop Gamer MSI GF63 THIN 10UC 15.6"" Intel Core i5-10500H 512GB SSD 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gamer-msi-gf63-thin-10uc-15-6-intel-core-i5-10500h-512gb-ssd-8gb-ram;4199;3899;LPM-BW15-i3;MSI;NVIDIA GeForce RTX 3050;Intel Core i3;16GB;15.6'';SSD;256GB;FHD;DDR4;Hiraoka;3800-4200;3800-4200;0
"Laptop IdeaPad 5i 14"" FHD Intel Core i7 16GB RAM 512GB SSD";https://www.oechsle.pe/laptop-ideapad-5i-14-fhd-intel-core-i7-16gb-ram-512gb-ssd-1877173/p;4699;3799;Idea Pad 5i;LENOVO;Intel;Intel Core i7;16GB;14'';SSD;512GB;FHD;;Oechsle;4200-5200;3400-3800;0
"Laptop ASUS 13.3"" UM325UA-KG150W Ryzen 7 16GB RAM 512GB SSD Grey";https://www.oechsle.pe/laptop-asus-13-3-um325ua-kg150w-ryzen-7-16gb-ram-512gb-ssd-grey-2091554/p;5499;3699;UM325UA-KG150W;ASUS;AMD;AMD Ryzen 7;16GB;13.3'';SSD;512GB;OLED;;Oechsle;5200-6200;3400-3800;0
"Laptop ASUS 15.6"" X515EA-BQ1749W Core i7 12GB DDR4 RAM 512GB SSD Grey";https://www.oechsle.pe/laptop-asus-15-6-x515ea-bq1749w-core-i7-12gb-ddr4-ram-512gb-ssd-grey-2091514/p;4999;3599;X515EA-BQ1749W;ASUS;Intel;Intel Core i7;12GB;15.6'';SSD;512GB;FHD;;Oechsle;4200-5200;3400-3800;0
Notebook LENOVO Yoga Slim7 14ITL05 14'' CI7 1165G7 16GB 512GB;https://www.plazavea.com.pe/notebook-lenovo-yoga-slim7-14itl05-14-ci7-1165g7-16gb-512gb/p;3549;3549;YOGA SLIM7 14ITL05;LENOVO;Intel;Intel Core i7;8GB;14'';SSD;512GB;FHD;DDR4;Plazavea;3400-3800;3400-3800;0
"Laptop Acer A315-57G-78C5 15.6"" 10th Gen Intel Ci7 1065G7 256GB SSD 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-acer-a315-57g-78c5-15-6-10th-gen-intel-ci7-1065g7-256gb-ssd-8gb-ram;3899;3099;A315-57G-78C5;ACER;NVIDIA GeForce MX330;Intel Core i7;8GB;15.6'';SSD;256GB;FHD;DDR4;Hiraoka;3800-4200;3000-3400;0
Laptop DELL 3501 15.6'' Intel Core i5 1135G7 8GB 256GB SSD;https://www.plazavea.com.pe/laptop-dell-3501-15-6-intel-core-i5-1135g7-8gb-256gb-ssd/p;2899;2899;1135G7;DELL;Intel;Intel Core i5;16GB;15.6'';SSD;256GB;;DDR4;Plazavea;2600-3000;2600-3000;0
"Laptop Acer A315-57G-57MY 15.6"" 10th Gen Intel Ci5 1035G1 512GB SSD 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-acer-a315-57g-57my-15-6-10th-gen-intel-ci5-1035g1-512gb-ssd-8gb-ram;3099;2699;KATANA GF66 11UC;ACER;NVIDIA GeForce RTX 3060;Intel Core i7;8GB;15.6'';SSD;512GB;FHD;DDR4;Hiraoka;3000-3400;2600-3000;0
"Laptop Asus X515EA 15.6"" Intel Core i5-1135G7 512GB SSD 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-asus-x515ea-ej921w-15-6-intel-core-i5-1135g7-512gb-ssd-8gb-ram;3399;2649;X515EA;ASUS;Intel Iris Xe Graphics;Intel Core i5;16GB;15.6'';SSD;512GB;FHD;DDR4;Hiraoka;3000-3400;2600-3000;0
"Laptop Acer A315-57G-53R9 15.6"" 10th Gen Intel Ci5 1035G1 256GB SSD 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-acer-a315-57g-53r9-15-6-10th-gen-intel-ci5-1035g1-256gb-ssd-8gb-ram;2899;2499;82JQ00BBLM;ACER;NVIDIA GeForce MX330;AMD Ryzen 7;16GB;16'';SSD;512GB;FHD;DDR4;Hiraoka;2600-3000;2200-2600;0
"Laptop Lenovo 82KT009NLM 14"" AMD Ryzen 3 5300U 256GB SSD 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-lenovo-82kt009nlm-14-amd-ryzen-3-5300u-256gb-ssd-8gb-ram;2399;2399;UX435EG-K9185T;LENOVO;NVIDIA GeForce RTX 3050;Intel Core i7;16GB;14'';SSD;512GB;FHD;DDR4;Hiraoka;2200-2600;2200-2600;0
Laptop Miray LPM-BW15-i7 Intel Core i7-6600U 512 GB SSD 8 GB RAM Silver;https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-miray-lpm-bw15-i7-intel-core-i7-6600u-512-gb-ssd-8-gb-ram-silver;3999;1999;LPM-BW15-i7 ;MIRAY;Intel;Intel Core i7;8GB;15.6'';SSD;512GB;FHD;DDR4;Hiraoka;3800-4200;1800-2200;0
"Laptop Huawei MateBook D14 14"" FHD IPS i3-10110U 256GB SSD 8GB RAM Windows Home";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-huawei-matebook-d14-14-fhd-ips-i3-10110u-256gb-ssd-8gb-ram-windows-home;1999;1799;A515-56-76D1;HUAWEI;Intel Iris Xe Graphics;Intel Core i7;12GB;15.6'';SSD;512GB;FHD IPS;DDR4;Hiraoka;1800-2200;1400-1800;0
"Laptop Acer A515-54-30MJ 15.6"" Intel Core i3-10110U 256GB SSD 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-acer-a515-54-30mj-15-6-intel-core-i3-10110u-256gb-ssd-8gb-ram;2259;1799;16Z90P-G.AH85B4;ACER;Intel UHD Graphics;Intel Core i7;16GB;16'';SSD;256GB;FHD;DDR4;Hiraoka;2200-2600;1400-1800;0
"Laptop HP 15-dy2050la 15.6"" Intel Core i3-1115G4 256GB+16 SSD+Optane 8GB RAM + Camara Web Miray CWM-1";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-hp-15-dy2050la-15-6-intel-core-i3-1115g4-256gb-16-ssd-optane-8gb-ram-camara-web-miray-cwm-12;2399;1699;N7600PC-L2001W;HP;Intel;Intel Core i7;16GB;16'';SSD;512GB;HD;DDR4;Hiraoka;2200-2600;1400-1800;0
"Laptop Miray LPM-BW15-i3 15.6"" Intel Core i3-6157U 256 GB SSD 16 GB RAM Silver";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-miray-lpm-bw15-i3-15.6-intel-core-i3-6157u-256-gb-ssd-16-gb-ram-silver;2299;1399;Inspiron 3511 YY3P3;MIRAY;;Intel Core i5;16GB;15.6'';SSD;542GB;FHD;DDR4;Hiraoka;2200-2600;980-1400;0
Laptop Gamer Asus ROG Zephyrus G14 14'' GA401QM Ryzen 9 5900HX 16GB RAM 1TB SSD 6GB Video RTX 3060 Gris;https://www.oechsle.pe/laptop-gamer-asus-rog-zephyrus-g14-14-ga401qm-ryzen-9-5900hx-16gb-ram-1tb-ssd-6gb-video-rtx-3060-gris-1883708/p;9199;8799;GA401QM-K2005T;ASUS;AMD;AMD Ryzen 9;16GB;14'';SSD;1TB;IPS;;Oechsle;8200-9200;8200-9200;1
"Laptop Asus M3401QC-KM160W 14"" AMD Ryzen 5 5600H 512GB SSD 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-asus-m3401qc-km160w-14-amd-ryzen-5-5600h-512gb-ssd-8gb-ram;5099;5099;M3401QC-KM160W;ASUS;NVIDIA GeForce RTX 3050;AMD Ryzen 5;8GB;14'';SSD;512GB;OLED;DDR4;Hiraoka;4200-5200;4200-5200;1
"Laptop Gamer Asus TUF DASH F15 FX516PC 15.6"" Intel Core i7-11370H 512GB SSD 16GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gamer-asus-fx516pc-hn004t-15-6-intel-core-i7-11370h-512gb-ssd-16gb-ram;5799;5099;IdeaPad 5;ASUS;NVIDIA GeForce GTX 3060;AMD Ryzen 5;8GB;14'';SSD;512GB;FHD IPS;DDR4;Hiraoka;5200-6200;4200-5200;1
Notebook HP 15-EH0010LA 15'' AMD R7 8GB 512GB SSD;https://www.plazavea.com.pe/notebook-hp-15eh0010la-15-amd-r7-8gb-512gb-ssd/p;4999;4999;15-EH0010LA;HP;AMD;AMD Ryzen 7;8GB;15'';SSD;512GB;FHD;;Plazavea;4200-5200;4200-5200;1
"Laptop Asus Zenbook 13 UM325 Series 13.3"" Pine Grey (Gris)";https://www.oechsle.pe/laptop-asus-zenbook-13-um325-series-13-3--pine-grey--gris--1000237978/p;6299;4969;UM325UA-DS71;ASUS;AMD;AMD Ryzen 7;4GB;13.3'';SSD;512GB;FHD;;Oechsle;6200-7200;4200-5200;1
Laptop ASUS M3401QC-KM160W 14'' AMD Ryzen 5 (5000 series) 8GB 512GB SSD;https://www.oechsle.pe/laptop-asus-m3401qc-km160w-14---amd-ryzen-5--5000-series--8gb-512gb-ssd-1000194808/p;4999;4599;M3401QC-KM160W;ASUS;AMD;AMD Ryzen 5;8GB;14'';SSD;512GB;OLED;;Oechsle;4200-5200;4200-5200;1
Laptop ASUS M3401QC-KM160W 14'' AMD Ryzen 5 (5000 series) 8GB 512GB SSD;https://www.plazavea.com.pe/laptop-asus-m3401qckm160w-14-amd-ryzen-5-5000-series-8gb-512gb-ssd/p;4599;4599;M3401QC-KM160W;ASUS;AMD;AMD Ryzen 5;8GB;14'';SSD;512GB ;OLED;;Plazavea;4200-5200;4200-5200;1
"Laptop Asus TUF Gaming A15 FA506IC-HN042W 15.6"" AMD Ryzen 5 4600H 512GB SSD 8GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-asus-tuf-gaming-a15-fa506ic-hn042w-15-6-amd-ryzen-5-4600h-512gb-ssd-8gb-ram;4899;4199;FA506IC-HN042W;ASUS;NVIDIA GeForce RTX 3050;AMD Ryzen 5;8GB;15.6'';SSD;512GB;FHD;DDR4;Hiraoka;4200-5200;3800-4200;1
"Laptop OMEN 16-c0501la 16"" AMD Ryzen R5-5600H 8GB RAM  512GB SSD 1650 4GB Video";https://www.oechsle.pe/laptop-omen-16-c0501la-16-amd-ryzen-r5-5600h-8gb-ram-512gb-ssd-1650-4gb-video-1871933/p;4999;4199;16-c0501la;HP;AMD;AMD Ryzen 5;8GB;16'';SSD;512GB;IPS;;Oechsle;4200-5200;3800-4200;1
Laptop ASUS Vivobook Pro 14 M3401QC 14'' R5-5600H 512GB SSD 8GB RTX3050;https://www.oechsle.pe/laptop-asus-vivobook-pro-14-m3401qc-14---r5-5600h-512gb-ssd-8gb-rtx3050/p;5599;4199;M3401QC-KM160W;ASUS;AMD;AMD Ryzen 5;8GB;14'';SSD;512GB;OLED;;Oechsle;5200-6200;3800-4200;1
Laptop ASUS FA506IC-HN042W 15.6'' AMD Ryzen 5 (5000 series) 8GB 512GB SSD;https://www.oechsle.pe/laptop-asus-fa506ic-hn042w-15-6---amd-ryzen-5--5000-series--8gb-512gb-ssd-1000186897/p;4799;3999;FA506IC-HN042W;ASUS;AMD;AMD Ryzen 5;8GB;15.6'';SSD;512GB;FHD;;Oechsle;4200-5200;3800-4200;1
"Laptop Huawei MateBook 14 14"" 2K IPS AMD R7 4800H 512GB SSD 8GB RAM Windows Hom";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-huawei-matebook-14-kelvinl-wde9bq-14-amd-ryzen-7-4800h-512gb-ssd-8gb-ram;4999;3999;MateBook 14 14;HUAWEI;AMD Radeon Graphics;AMD Ryzen 7;8GB;14'';SSD;512GB;IPS;DDR4;Hiraoka;4200-5200;3800-4200;1
