Titulo;Link;Precio Normal;Precio Online;Modelo;Marca;Tarjeta de Video;Procesador;Memoria Ram;Pulgadas Pantalla;Tipo de Almacenamiento;Almacenamiento;Tipo de Pantalla;Tipo de Memoria Ram;Tienda;Precio Normal_categ;Precio Online_categ;cluster_predicted
Notebook LENOVO IdeaPad 5 14ITL05 14'' CI5 1135G7 8GB 256GB;https://www.plazavea.com.pe/notebook-lenovo-ideapad-5-14itl05-14-ci5-1135g7-8gb-256gb/p;1999;1999;IP 5 14ITL05;LENOVO;AMD;Intel Core i5;8GB;14'';SSD/HDD;256GB;HD;DDR4;Plazavea;1800-2200;1800-2200;4
"Notebook HP 15-DW2032LA 15"" INTEL CI5 1TB";https://www.plazavea.com.pe/notebook-hp-15dw2032la-15--intel-ci5-1tb/p;1999;1999;15-DW2032LA;HP;Intel;Intel Core i5;4GB;15.1'';HDD;1TB;HD;;Plazavea;1800-2200;1800-2200;4
Laptop Lenovo Ideapad 3 14 Gl05-Intel N5030 Ram 4GB Storage 128GB SSD Platinum Grey;https://www.plazavea.com.pe/laptop-lenovo-ideapad-3-14-gl05-intel-n5030-ram-4gb-storage-128gb-ssd-platinum-grey-100180736/p;1935;1935;81WH004LUS;LENOVO;;Intel Pentium;4GB;14'';SSD;128GB ;HD;;Plazavea;1800-2200;1800-2200;4
"Laptop HP 255 G7 AMD Ryzen 3 4GB RAM 1TB HDD 15.6"" FreeDOS";https://www.oechsle.pe/laptop-hp-255-g7-amd-ryzen-3-4gb-ram-1tb-hdd-15-6--freedos-1000077852/p;1999;1799;255 G7;HP;AMD;AMD Ryzen 3;4GB;15.6'';HDD;1TB;HD;;Oechsle;1800-2200;1400-1800;4
"Laptop HP 250 G7 Intel Core i3 4GB RAM 1TB HDD 15.6"" FreeDOS";https://www.oechsle.pe/laptop-hp-250-g7-intel-core-i3-4gb-ram-1tb-hdd-15-6--freedos-1000077868/p;2349;1799;251 G7;HP;Intel;Intel Core i3;4GB;15.6'';HDD;1TB;HD;;Oechsle;2200-2600;1400-1800;4
"Combo HP Laptop 250 G8 Core i3 4GB RAM 1TB HDD 15.6"" + Mochila Prelude + Mouse Inalambrico";https://www.oechsle.pe/combo-hp-laptop-250-g7-core-i3-4gb-ram-1tb-hdd-15-6----mochila-prelude---mouse-inalambrico-1000135574/p;2700;1799;250 G7;HP;Intel;Intel Core i3;4GB;15.6'';HDD;1TB;HD;;Oechsle;2600-3000;1400-1800;4
"Laptop Dell Latitude 3410 Core i3-10110U 1TB HDD 4GB RAM 14"" HD FreeDos";https://www.plazavea.com.pe/laptop-dell-latitude-3410-core-i3-10110u-1tb-hdd-4gb-ram-14-hd-freedos-100190713/p;1749;1749;Latitude 3410;DELL;Intel;Intel Core i3;4GB;14'';HDD;1TB;HD;;Plazavea;1400-1800;1400-1800;4
"Combo Laptop HP 15.6"" 250 G8 i3 1005G1 4GB 1TB Windows 10H + Mouse";https://www.oechsle.pe/laptop-hp-250-g8-i3-1005g1-4gb-1tb-15-6--windows-10-1000104838/p;3399;1690;250-G8 - 2P5L7LT;HP;Intel;Intel Core i3;4GB;15.6'';HDD;1TB;HD;;Oechsle;3000-3400;1400-1800;4
"Laptop HP 250 G8 Intel Core i3-1005G1 1TB HDD 4GB RAM 15.6"" FreeDos";https://www.oechsle.pe/laptop-hp-250-g8-intel-core-i3-1005g1-1tb-hdd-4gb-ram-15-6--freedos-1000264176/p;1600;1550;251 G8;HP;Intel;Intel Core i3;4GB;15.6'';HDD;1TB;HD;;Oechsle;1400-1800;1400-1800;4
"Laptop ASUS X515M 15.6"" Celeron 4GB 128GB SSD W10 Home - Laptop ASUS X515M Celeron 4GB 128GB SSD";https://www.oechsle.pe/laptop-asus-x515m-15-6--celeron-4gb-128gb-ssd-w10-home-1000269237/p;2029;1529;X515M;ASUS;Intel;Intel Celeron;4GB;15.6'';SSD;128GB;HD;;Oechsle;1800-2200;1400-1800;4
Laptop ASUS X543MA-GQ1042T 15.6'' Intel Celeron 4GB 500GB HDD;https://www.oechsle.pe/laptop-asus-x543ma-gq1042t-15-6---intel-celeron-4gb-500gb-hdd-1000177834/p;2099;1529;X543MA-GQ1042T;ASUS;Intel;Intel Celeron;4GB;15.6'';HDD;500GB;HD;;Oechsle;1800-2200;1400-1800;4
"Laptop HP 14-dq2021la 14"" Intel Core i3-1115G4 256GB SSD 4GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-hp-14-dq2021la-14-intel-core-i3-1115g4-256gb-ssd-4gb-ram;2199;1499;14-dq2021la;HP;Intel UHD Graphics;Intel Core i3;4GB;14'';SSD;256GB;HD;DDR4;Hiraoka;1800-2200;1400-1800;4
Notebook LENOVO IdeaPad 3 14IML05 14'' CI3 10110U 4GB 256GB;https://www.plazavea.com.pe/notebook-lenovo-ideapad-3-14iml05-14-ci3-10110u-4gb-256gb/p;1449;1449;IP 3 14IML05;LENOVO;Intel;Intel Core i3;4GB;14'';SSD;256GB;HD;;Plazavea;1400-1800;1400-1800;4
"Laptop Lenovo 14"" 81VU000JUS Intel N5030 4GB 128GB SSD W10";https://www.plazavea.com.pe/laptop-lenovo-14-81vu000jus-intel-n5030-4gb-128gb-ssd-w10-100154146/p;1399;1399;81VU000JUS;LENOVO;Intel;Intel Pentium;4GB;14'';SSD;128GB ;HD;;Plazavea;1000-1400;980-1400;4
"Laptop IdeaPad 1i 14"" FHD  Intel Celeron 4GB RAM 128GB SSD";https://www.oechsle.pe/laptop-ideapad-1i-14-fhd-intel-celeron-4gb-ram-128gb-ssd-1877177/p;2329;1149;Idea Pad 1i;LENOVO;Intel;Intel Celeron;4GB;14'';SSD;128GB;FHD;;Oechsle;2200-2600;980-1400;4
Laptop ASUS E510MA-BR883WS 15.6'' Intel Celeron 4GB 128GB SSD;https://www.plazavea.com.pe/laptop-asus-e510mabr883ws-15-6-intel-celeron-4gb-128gb-ssd/p;1099;1099;E510MA-BR883WS;ASUS;Intel;Intel Celeron;4GB;14'';SSD;128GB ;HD;DDR3;Plazavea;1000-1400;980-1400;4
"Laptop Lenovo S145 AMD A4 4GB RAM 500GB HDD 14"" Windows 10 Home + Protector Teclado";https://www.oechsle.pe/laptop-lenovo-s145-amd-a4-4gb-ram-500gb-hdd-14--windows-10-home---protector-teclado-1000267439/p;1080;999;IDEAPAD S145;LENOVO;AMD;AMD Ryzen A4;4GB;14'';HDD;500GB;LED HD;;Oechsle;1000-1400;980-1400;4
